old_code,old_category_path,new_code,new_category_path,similarity_score,match_status
22160900,침구/커튼/장식소품 > 커튼/로만쉐이드 > 캐노피/침대용커튼,6223501,침구/커튼/장식소품 > 커튼/로만쉐이드 > 캐노피/침대용커튼,100.00%,high_confidence
22170300,침구/커튼/장식소품 > 쿠션/방석/소품 > 바디필로우,6223512,침구/커튼/장식소품 > 쿠션/방석/소품 > 바디필로우,100.00%,high_confidence
22161000,침구/커튼/장식소품 > 커튼/로만쉐이드 > 커텐봉/고리/장식,6223502,침구/커튼/장식소품 > 커튼/로만쉐이드 > 커텐봉/고리/장식,100.00%,high_confidence
22161001,침구/커튼/장식소품 > 커튼/로만쉐이드 > 커텐봉/고리/장식 > 커튼고리,6223503,침구/커튼/장식소품 > 커튼/로만쉐이드 > 커텐봉/고리/장식 > 커튼고리,100.00%,high_confidence
22161002,침구/커튼/장식소품 > 커튼/로만쉐이드 > 커텐봉/고리/장식 > 기타,6223504,침구/커튼/장식소품 > 커튼/로만쉐이드 > 커텐봉/고리/장식 > 기타,100.00%,high_confidence
22161100,침구/커튼/장식소품 > 커튼/로만쉐이드 > 커튼 시공,6223505,침구/커튼/장식소품 > 커튼/로만쉐이드 > 커튼 시공,100.00%,high_confidence
22161200,침구/커튼/장식소품 > 커튼/로만쉐이드 > 커튼/로만쉐이드세트,6223506,침구/커튼/장식소품 > 커튼/로만쉐이드 > 커튼/로만쉐이드세트,100.00%,high_confidence
22161300,침구/커튼/장식소품 > 커튼/로만쉐이드 > 실커튼,6223507,침구/커튼/장식소품 > 커튼/로만쉐이드 > 실커튼,100.00%,high_confidence
22161400,침구/커튼/장식소품 > 커튼/로만쉐이드 > 커튼액세서리,6223508,침구/커튼/장식소품 > 커튼/로만쉐이드 > 커튼액세서리,100.00%,high_confidence
22170100,침구/커튼/장식소품 > 쿠션/방석/소품 > 대방석/대쿠션,6223509,침구/커튼/장식소품 > 쿠션/방석/소품 > 대방석/대쿠션,100.00%,high_confidence
